 epoch,train_loss,train_accuracy,test_accuracy
  0,1.40607643,43.75000000,42.96875 
  1,1.40810227,48.43750000,52.34375 
  2,1.29086232,50.78125000,51.5625 
  3,0.85752791,68.75000000,65.625 
  4,1.12198818,60.15625000,66.40625 
  5,0.88792193,67.96875000,66.40625 
  6,0.68238086,75.78125000,68.75 
  7,0.75854486,72.65625000,69.53125 
  8,0.93977696,65.62500000,75.0 
  9,0.60795212,81.25000000,81.25 
 10,0.72727454,77.34375000,66.40625 
 11,0.57052600,85.15625000,78.90625 
 12,0.69643241,78.12500000,74.21875 
 13,0.48313767,83.59375000,74.21875 
 14,0.66515601,77.34375000,79.6875 
 15,0.53368121,77.34375000,87.5 
 16,0.38191932,88.28125000,77.34375 
 17,0.37686589,87.50000000,84.375 
 18,0.51305038,79.68750000,78.125 
 19,0.44722092,84.37500000,84.375 
 20,0.60529232,82.03125000,76.5625 
 21,0.46793932,82.81250000,83.59375 
 22,0.32617649,91.40625000,84.375 
 23,0.35527641,87.50000000,75.78125 
 24,0.28563711,90.62500000,85.9375 
 25,0.30596352,85.15625000,85.9375 
 26,0.45712742,82.81250000,88.28125 
 27,0.34678787,85.93750000,86.71875 
 28,0.45334834,82.81250000,82.8125 
 29,0.40851906,85.15625000,87.5 
 30,0.28954688,92.18750000,81.25 
 31,0.37237075,88.28125000,82.8125 
 32,0.33677587,89.06250000,84.375 
 33,0.38419604,87.50000000,81.25 
 34,0.35970077,87.50000000,82.8125 
 35,0.27903995,89.84375000,84.375 
 36,0.25165486,92.96875000,85.15625 
 37,0.26232713,90.62500000,88.28125 
 38,0.26024580,88.28125000,85.15625 
 39,0.43905380,85.15625000,86.71875 
 40,0.27946204,91.40625000,89.84375 
 41,0.37443286,89.84375000,87.5 
 42,0.21964811,91.40625000,82.03125 
 43,0.34827825,85.93750000,82.03125 
 44,0.30973423,88.28125000,85.15625 
 45,0.32705405,88.28125000,82.03125 
 46,0.18548320,94.53125000,82.8125 
 47,0.31129855,89.06250000,85.9375 
 48,0.16991214,95.31250000,85.15625 
 49,0.20777583,93.75000000,84.375 
 50,0.29430532,91.40625000,78.90625 
 51,0.29989743,90.62500000,83.59375 
 52,0.30862746,88.28125000,78.90625 
 53,0.30851623,89.06250000,77.34375 
 54,0.23312029,92.18750000,86.71875 
 55,0.27374232,87.50000000,85.9375 
 56,0.18220705,94.53125000,84.375 
 57,0.17079650,92.18750000,84.375 
 58,0.22340831,92.96875000,85.9375 
 59,0.25749138,91.40625000,86.71875 
 60,0.20287685,94.53125000,85.9375 
 61,0.24728894,92.18750000,85.9375 
 62,0.26351967,90.62500000,79.6875 
 63,0.25172469,89.06250000,82.03125 
 64,0.27361310,92.18750000,82.03125 
 65,0.14833553,95.31250000,87.5 
 66,0.26981521,91.40625000,90.625 
 67,0.27023554,89.84375000,84.375 
 68,0.17087634,95.31250000,85.9375 
 69,0.22192825,92.96875000,87.5 
 70,0.22454332,93.75000000,83.59375 
 71,0.12654550,96.09375000,85.9375 
 72,0.18037289,94.53125000,83.59375 
 73,0.22786330,91.40625000,82.8125 
 74,0.18996507,92.96875000,82.03125 
 75,0.32168996,87.50000000,85.9375 
 76,0.18590462,92.96875000,85.15625 
 77,0.25362557,91.40625000,84.375 
 78,0.16761905,95.31250000,90.625