 epoch,loss,train_accuracy,test_accuracy
 0,2.23069358,20.31250000,17.96875 
 1,2.13860202,15.62500000,28.125 
 2,1.91126108,25.78125000,35.15625 
 3,1.90271389,27.34375000,31.25 
 4,1.72290170,36.71875000,35.9375 
 5,1.69307446,35.93750000,48.4375 
 6,1.74344540,33.59375000,42.1875 
 7,1.62921083,39.06250000,43.75 
 8,1.47756541,45.31250000,45.3125 
 9,1.57157421,39.84375000,46.09375 
10,1.33173513,45.31250000,45.3125 
11,1.34597492,50.78125000,45.3125 
12,1.37822998,50.00000000,53.90625 
13,1.33059883,50.00000000,51.5625 
14,1.45033634,42.96875000,44.53125 
15,1.22414494,54.68750000,64.0625 
16,1.19767666,57.81250000,53.125 
17,1.24351954,54.68750000,54.6875 
18,1.30122101,53.12500000,53.90625 
19,1.10962927,61.71875000,66.40625 
20,0.92911857,63.28125000,64.84375 
21,0.93355626,69.53125000,60.15625 
22,0.94434541,64.84375000,70.3125 
23,0.81470656,72.65625000,61.71875 
24,0.64784956,75.78125000,67.96875 
25,0.88576931,66.40625000,64.0625 
26,0.67265964,79.68750000,66.40625 
27,0.74324214,71.87500000,70.3125 
28,0.63747460,78.90625000,76.5625 
29,0.78012747,71.09375000,75.78125 
30,0.75366735,73.43750000,66.40625 
31,0.64490896,78.12500000,77.34375 
32,0.63708735,77.34375000,75.0 
33,0.65756148,77.34375000,79.6875 
34,0.65657860,76.56250000,78.125 
35,0.59399062,80.46875000,74.21875 
36,0.50334466,82.03125000,78.125 
37,0.58974767,81.25000000,68.75 
38,0.56897050,82.03125000,77.34375 
39,0.62280667,78.90625000,71.09375 
40,0.52534151,85.15625000,78.125 
41,0.52374774,81.25000000,76.5625 
42,0.51688492,82.03125000,78.90625 
43,0.44936901,82.81250000,80.46875 
44,0.51910126,80.46875000,82.03125 
45,0.62666893,77.34375000,81.25 
46,0.49164110,82.03125000,74.21875 
47,0.60250974,82.03125000,73.4375 
48,0.45335105,83.59375000,75.78125 
49,0.40708968,82.81250000,78.90625 
50,0.55771202,75.78125000,79.6875 
51,0.46541607,85.15625000,73.4375 
52,0.43040562,84.37500000,77.34375 
53,0.41153035,87.50000000,80.46875 
54,0.60641813,78.90625000,82.03125 
55,0.42975384,84.37500000,77.34375 
56,0.52288604,81.25000000,79.6875 
57,0.52657551,83.59375000,80.46875 
58,0.53914201,80.46875000,76.5625 
59,0.42273447,82.81250000,78.125 
60,0.34344637,85.93750000,75.78125 
61,0.49384043,85.93750000,82.03125 
62,0.49019444,82.03125000,79.6875 
63,0.51694447,82.03125000,75.78125 
64,0.41429782,85.93750000,78.125 
65,0.51853144,81.25000000,71.875 
66,0.40951914,87.50000000,75.78125 
67,0.36026943,85.93750000,85.15625